airline_sentiment,text
negative,"@AmericanAir Yes, talked to them. FLL says is at central. Central says is at FLL and here we go again. I'm betting this will go 6 mths"
negative,@VirginAmerica and it's a really big bad thing about it
negative,@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home
negative,"@JetBlue Yes, I filed yesterday around noon. I have a claim number but they haven't contacted me yet."
negative,@AmericanAir how do I see your report team?
negative,@USAirways why I can't book a flight to PRN through your website?
negative,@jetblue are going to let Fl382 into a gate in BOS any time soon? We're just sittin' here on the tarmac  waiting.
negative,@united now 1558 from IAH to EWR has broken entertainment system and no WiFi despite info on app: http://t.co/FY6f9rZB9k
negative,"@united you are trying to charge me 150 bucks because you lowered your award tickets and I want to get my hard earn points back, total BS"
negative,@USAirways I've been on hold for over an hour.  Not doing so well in the customer service department.  #weak
negative,@AmericanAir I understand you are busy but I have still gotten no answer. I need to get home and you guys have not helped at all
negative,@USAirways @AmericanAir just be prepared for a claim if that bag is lost ... Too many valuables to carry in my hands. #us2146 to #aa2924
negative,@USAirways but my bag is still missing
negative,"@united if your policy changed, you must advise at the time of purchase.  Same if you choose to vary it by airport!  We want a FULL refund!!"
negative,"@SouthwestAir Yes, but I like need my luggage before tomorrow morning"
negative,"@AmericanAir Flt Cancelled Flighted, rescheduled to bad time. Tried 800# 3hrs. Website states can't do online=useless website. Help?"
negative,"@united in other words... sorry, not sorry.  Plenty of other airlines... and I travel A LOT."
negative,@JetBlue why do you have every channel but @ABCNetwork How are @kgonzales89 and I supposed to watch Scandal? But free FlyFi is sweet!
negative,@united haha and you have to clean a plane that was held overnight in a hangar. Sounds lovely. Also don't lie on screensand say it's weather
negative,@USAirways Thanks but when I asked for a change with no cost for you the only desition was nade by computer. Now is Late Flight
negative,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?
negative,@USAirways i tried it but doesnt help very much and Reservation seems to be overwhelmed with some issues
negative,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡
negative,@USAirways tried twice today on hold for 30 min each time. i have things to do so can't live on hold dealing w/ your customer serv failures
negative,"@AmericanAir Worst airline. You Cancelled Flight flight, don't let me know, I wait on hold 30 mins, told to enter callback for middle of the night?!!"
negative,@SouthwestAir very poor customer service thru out each of my cxl flights😔 I should've flew @Delta
negative,"@AmericanAir LGA already by the time we pulled from the flight. QQBMUG. feel free to look up how many flights we've been ""reticketed"" on."
negative,@SouthwestAir Yes but they couldn't explain the 2 hour and 45 minute hold time.
negative,@JetBlue you respond to my friend @LisaPal but you can't respond directly to me
negative,@JetBlue not one of my four flights this trip has been on time. What the he'll is your companies problem?
negative,@AmericanAir thanks - I miss my dog and this delay is costing me a lot of money.
negative,@AmericanAir you're almost as bad as @united
negative,@SouthwestAir been all up and down the area where the pic was taken and don't see any albums.
negative,@united your airline is a joke. 1 person working special services at EWR?!? Line is 15 ppl deep. GROW UP!
negative,@SouthwestAir my parents flight frm STL2ATL Cancelled Flighted 2nite. When's the next one out?!
negative,@united Second day &amp; attempt trying to leave IAD &amp; I'm on another plane delayed for mechanical issues. Over an hour delayed!
negative,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.
negative,"@JetBlue unfortunately I was so startled and rushed, I didn't get the name, but will provide a description in my expanded email.  Thank you"
negative,@united EVERYTIME I fly UR airline I hate you even more ! Thanks for the terrible service on flight 1071
negative,.@united being delayed 3 hours for a one hour flight is more than frustrating. I'm also unable to get a decent meal at this hour.Never again
negative,@AmericanAir Supposed to arrive at my destination tonight. American rebooks me for Wednesday? Where am I staying until then?
negative,@united nice to know that 3 hours of my time is worth $7.99. Free DirectTV for everyone! Ever hear of preventative maintenance?
negative,"@AmericanAir hah, best flight attendant response, if you not happy getting screwed over, you have other carriers.   hahahah pathetic"
negative,@USAirways tells me to talk to @AmericanAir about my delayed flights. AA tells me to talk to US. #ihatemergers
negative,@united last week we also had maintenance issues and a flat tire. Another flight last week was Cancelled Flighted. Your track record is the WORST!
negative,@USAirways just lost a faithful customer.
negative,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?"
negative,"@USAirways question is why flight took off at all, now a friend is stuck needlessly in another city"
negative,@SouthwestAir I would die if I got tickets to #DestinationDragons and you would be invited to my funeral
negative,@united @ThisIsCoach Every time my united flight got delayed. this is a big frustration.
negative,@USAirways thank you for blowing my vacation. Couldn't get me anywhere today to make my reservation and also lost 2 bags of mine!
negative,@USAirways I keep thinking this is a massive practical joke and someone is gonna appear out of thin air and take me to Reno tonight.
negative,@USAirways @AmericanAir WHERE IS MY BAG ?#SOS ITIS BEING LOST FOR MORE THAN 24 HOURS ! #POORCUSTUMERSERVICE
negative,@USAirways I think it's a little weak sauce you have zero inflight entertainment for a 4 hour flight from Salt Lake to Philadelphia
negative,@USAirways why the hell will you not put us in a hotel when you've stranded us. Your message says mechanical issues not weather. #usairways
negative,@AmericanAir the one at 11:30am? My app still shows it as on time!
negative,@AmericanAir rebooked into a different airport. Throwing a wrench into plans 👀
negative,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.
negative,@united after 6 hour plus delay from #WashingtonDC finally on flight to #Edinburgh all very tired
negative,@AmericanAir - Please find my bag!! In Singapore for three days already without my bag. Last known destination LAX Tag: 580815 Please help.
negative,@united not once did #US3645 leave #ORD on time this week #shameful
negative,@united UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.
negative,@SouthwestAir - Hi Janet in customer service. I'm calling you back and have been sitting in que for 40 mins! Plz pick it up!!! #frustrated
negative,@united it's messed up to refuse to wait 10 min after united is at fault for delay but to leave early is absolutely disgusting.
negative,@united I've been waiting on my bag in IAH for 45mins.  They're only 4 freaking people on that flight waiting for bags.  Fix this!!
negative,@AmericanAir to realize your customer service leaves much to be desired and the folks handling the calls could care less...and it shows.
negative,"@united A day Late Flightr, one delayed &amp; one Cancelled Flightled flight, I'm at a gate with no seat assign. Lots of standby ppl also waiting."
negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
negative,@JetBlue letting me down in San Fran. No Media rate? What's the deal? Looks like this is the last time I fly anywhere with you.
negative,@united I did DM the details back on 02/14 when this started with phone number to reach me no reply either online or by phone
negative,"@AmericanAir Why is it ok that no-one can help me with the bag you lost on my honeymoon 3months ago, this is not responsible or professional"
negative,@USAirways problem with flight in Gainesville US Airways  5137 to CLT will miss connecting flight 5547 to IAD. When can I get another flight
negative,@JetBlue what crew? No one here is helping.
negative,@united doesn't help the 100 or more passengers that just arrived an hour Late Flight.
negative,@united Premier Gold desk changes flight. Waives fees. Gives me wrong flight. Now Jana Acosta in Salt Lake refuses the same service. Angry.
negative,@USAirways look @Delta has made the right call on CHO. Please evaluate. http://t.co/3KhGjoFgpX
negative,@United rescheduled my return flight from #Japan?  Uh why?  Trying to call #UnitedAirlines #customerservice - 45 min wait.  #fun
negative,@united have you read your own same day travel change policy?
negative,"@SouthwestAir alas, it was pretty full so we had to entertain ourselves with witty repartee ..."
negative,@USAirways rebooked me after i missed my flight..never called me and i didnt check my email.  I (cont) http://t.co/uTfDhxa8pU
negative,@USAirways Never mind that you could have told the gate I was on my way - you could delay 10 mins but not 15?
negative,"@JetBlue absolutely. The missed connection caused us to miss our ferry to Vieques. Get us to Vieques. Also, flight vouchers. #PRBound"
negative,@JetBlue really not acceptable. Just informed plane won't start. Chartering bus to take passengers to jfk.
negative,@United is the worst major US airline.  More proof: they're boarding the plane with the outside galley door open in 0 degree weather.  Wtf?
negative,@AmericanAir i was spoken 2 like I'm an idiot and that is not OK!! I don't need to deal w/ that esp after the travel experience I've had
negative,"@JetBlue Guys, really bad @JetBlue #fail . Someone better call my wife back to get this handled. 203-382-3312 while she waits on hold...."
negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
negative,@USAirways understood. It simply feels as if the staff is not being entirely truthful about the situation.
negative,"@AmericanAir whenever I cheat on you it goes horribly wrong! I promise, I won't stray anymore. I'm talking about you @Delta!"
negative,@united 20 yrs of flying Continental/united exclusively I get why everyone hates you - fl1289sfo/EWR #getmeoffrhisFUCKINplane
negative,"@SouthwestAir Sure was,  with @Delta  looks like I'll make my birthday celebration after all."
negative,"@AmericanAir That's ok...You may keep my $25 and lose my bag with no info, but you no longer have my trust. Bad way to handle this."
negative,@USAirways I am in meetings in California and have no luggage!!
negative,@united hoping there is a spare a/c for 1171 tomorrow!  Have a ship to board!  The sched aircraft is delayed from previous flts.
negative,"@usairways yep, sent my bag to Philadelphia instead of Miami...I caught it...then was told my flight changed to tomorrow, wrong again #fail"
negative,@AmericanAir thanks for making this the worst flying experience ever. 4 different planes of mechanical issues and 12 hours and counting
negative,@AmericanAir between your airline and @united I've now spent three extra days traveling (DOMESTIC) and spent hundreds of dollars...
negative,@USAirways standby so far for two of us. With snow storm hitting Iowa tomorrow we could be stuck here for two days.
negative,"@USAirways - I bet you don't, but I'm the paying customer here. I know how to check for flight delays, thank you."
negative,"@SouthwestAir Hello remaining credits on your account will be refunded back to your credit card, when you choose a lower price flight?"
negative,@AmericanAir I have been trying to get through to someone about my Cancelled Flightled flight tomorrow for over 4 hours.
negative,@united so who does handle bag issues? And why wouldn't you put me onto them in the first place?
negative,@USAirways yeah you guys just told me to call the website that I booked from. I booked on your website. UNACCEPTABLE
negative,@USAirways you are the worst.
negative,@USAirways well then that is a horrible flaw in your system. 2 hours in the past day I've wasted. I've got a job &amp; family this is crazy
negative,@AmericanAir 4 open kiosks for priority with no line and only 4 open for main check in for ~80-100 ppl
negative,"@SouthwestAir how is tkt in the A grp for a cxld flight gets stuck at the back of the Cs when your site, phone and agents took 1h to rebook"
negative,@AmericanAir HELP! Attempting to Cancelled Flight a flight but can't get thru 800 number. Call gets dropped when saying Agent. flight is 2/24.
negative,@united call wait times are over 20 minutes and airport wait times are longer
negative,"@USAirways why aren't twitter and reservations connected? What do people want? Reservations, duh?!?!"
negative,@SouthwestAir Your hold music needs 2 be fixed:certain tracks have loud phone button mashing tones in them.Estimated wait time would help 2.
negative,"@SouthwestAir love how ""friendly"" your staff is when asking for updates on delayed flights causing missed connections. #horribleattitudes"
negative,@AmericanAir thanks for a Cancelled Flightled flight then a delayed flight and NOT telling us More missed work More $ on hotel #WorstCustomerService
negative,@JetBlue quick ? Why is a person traveling w  a mosaic not get the green tag? Doesn't make sense I end up waitin 4 my sons bag anyway :/
negative,@USAirways That's clever. Its clear you need more agents. 94 min hold and counting. Flex workforces are highly possible in 2015
negative,@USAirways @AmericanAir need to check candy w working flight 449 iah to phx on usairways she is the reason I always choose @Delta #rude
negative,@USAirways so far I've gotten six different answers
negative,@USAirways: I experienced what defines customer service on #FLT1999. A flight attendant willing to follow up with a passenger on bag charges
negative,@AmericanAir there's a direct from Miami w a seat but u rebooked niece Tuesday. Can't get through on phones? #customerservicefail
negative,@USAirways you gladly take the loyal customer's money but when you cause an inconvenience you do nothing to help fix the problem you caused.
negative,@USAirways @AshleyKAtherton Over an hour on hold so far
negative,@united customers aren't dumb. These revenue based programs will hurt everyone. Not gonna save money like you think
negative,@AmericanAir That what I hoped - contacted them 3 wks ago about this but they have not responded and still issued in US funds. #frustrated
negative,"@USAirways Another twist in the plot. Took off from Miami, then had to return due to a unsecured cargo door. most stressful vacation ever."
negative,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!
negative,@AmericanAir is there another line I can call when I am on hold for 5 hours? Also how can I get compensated for this loss of time and money?
negative,@AmericanAir. For two days now I have been trying to reach #AmericanAirlines customer service to change my flight.
negative,@USAirways can I at least get a response?  I tried the gate person (sent me the wrong way to cust srvc ) Cust Srvc (when I found them)
negative,@united also didn't ice the frozen metal walkway. Wasted 40 minutes because no one knew how to do simple jobs.
negative,@united I'm constantly having challenges with upgrades &amp; charges. In order to prevent DVT I have to pay an addtl $180 http://t.co/xC6jQ70r7B
negative,@united &lt;&lt;&lt;&lt;&lt;------- shoddy customer service. Of no use whatsoever. #unitedairline
negative,@united thanks for making everyone wait in the dark for an hour while Newark tries to figure out which gate to go to. #incompetence
negative,@USAirways You guys are screwing up my trip. Thanks for nothing. #lazy
negative,"@AmericanAir Thx, someone picked up after 45 minutes"
negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
negative,@lindaSWC @united:  We don't like to hear you had a poor experience. Please share details w/our Customer Care team http://t.co/HIsc4NdMgZ.
negative,@AmericanAir you have let me down. Seriously. #unhappycustomer
negative,@SouthwestAir lost my sunglasses &amp; case on a flight 3933 last night - is there a lost &amp; found?
negative,@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6
negative,@united has it been 4-6hrs yet?
negative,"@USAirways Been on hold for 40 minutes, calling because my flight is delayed.  This type of service in not acceptable."
negative,@SouthwestAir was wondering is there a reason why customer service is so busy? Been on hold past few days for many hours No answer Help plz
negative,@AmericanAir to my destination. After waiting 2 hours and missing our second flight with them. Our #luggage made the flight though...
negative,@united you hung up on me again.
negative,"@USAirways membership has no privileges anymore - my son is in the army, short window to see him - NO help."
negative,@SouthwestAir okaaaaay UGH IM 8 MIN AWAY
negative,@USAirways looking forward to waiting on hold for 9 hrs to reschedule my flight.  Bunch of idiots work for this airline.
negative,@united literally sucks
negative,@VirginAmerica is the website down?
negative,"@SouthwestAir 14 hours????  Sorry don't get it. Oh well. Screw the weekend in Az right?  Eat the hotel, no problem."
negative,"@united so, not only were you Late Flight, you broke my luggage handle. You paying for a new one? http://t.co/nYVV1X3d67"
negative,@united I'm on UA1118 and my direct tv isn't working.  How do I avoid this in future?
negative,"@united EWR TO MCO made unplanned landing because of pressurization failure. Worst pain I've EVER felt, I thought I was going to pass out"
negative,@USAirways just hit 4hrs.  what is typical wait time right now? should i drive 2h30m to the airport service desk?
negative,"@JetBlue I fly w/u as much as I can, however your kiosks were broken in SYR and there was 1 woman working the ticket counter.. She had a"
negative,@united obviously the staff at EWR - United or otherwise have not seen your ads about - being FRIENDLY and helpful #ewr worst airport
negative,"@USAirways #not happy, wife 40th Bday trip. would like to be fully compensated for both flights"
negative,@AmericanAir usually raving about the service to LAX. Your nbr1 and helper can't figure out how to hang a coat and serve a drink. 6F
negative,@JetBlue just a very rude rep while trying to book family vacation using trvl credit. on phone w/ new rep now who is being very helpful
negative,"@AmericanAir once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?"
negative,"@United: I feel very well informed. yes, the flight is indeed delayed. Thank you. http://t.co/FuCHZRZjg5"
negative,@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help
negative,@USAirways I better get a free flight
negative,"@AmericanAir ""We'll drop off your luggage 24 hours after your flight"" is ridiculous."
negative,"@USAirways trying to check in online for a flight tomorrow.  Tried computer, tablet, and phone.  got error message on all devices?"
negative,@USAirways thank you so much for asking us to pay $700 to switch to a different flight so I could spend more time with my dying nephew.
negative,@SouthwestAir nothing express about your express bag drop at Phoenix Sky Harbor
negative,@AmericanAir I'll give a reward for whoever finds and returns to me on Thurs when I fly back thru @dfwairport. I ❤️ these earrings!!
negative,"@AmericanAir Checked in on app since yesterday. Confirmed upgrade &amp; carry on, got to counter &amp; manager upgraded somebody else on my seat!"
negative,"@united Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays."
negative,@AmericanAir Can you help with my Cancelled Flightled flight -- I'd like to book another flight...I've been on hold for 95 minutes and counting....
negative,@USAirways so you're not honoring miles with @united that were traveled last year?
negative,@united lol too little too Late Flight
negative,@AmericanAir you're airline is ridiculous
negative,. @USAirways It's been Cancelled Flighted. Your SM response is slow.
negative,@united ua1673 still waiting! Supposed to depart 9:08
negative,@JetBlue I am less concerned about the delay than I am about not being notified until I looked at the board that my flight was delayed
negative,@JetBlue is blaming @TSA for flight 584 luggage debacle!  #luggagegate
negative,@AmericanAir I like the call back system. But thought you'd like to know it's not working well. I received three calls but there's no audio.
negative,@AmericanAir The word failure means: an act or instance of failing or proving unsuccessful; lack of success nonperformance of something due.
negative,"@AmericanAir yes starting w/ flight 1278, getting me home more than 48 hours Late Flightr. record locator BSUXLU"
negative,@united dang... I thought I was in a teleportation device! Ua514
negative,@USAirways  I've never been treated this badly
negative,"@JetBlue poor storm customer service, 1hr takeoff delay waiting for the snack cart, rude steward (no names) and I love you guys. #TrueBlue"
negative,"@united sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards"
negative,@usairways missed flight connection due to flight attendant delay. Yet no voucher on your part? #fail
negative,@USAirways making folks run from gate C29 to A18 to B11 with NO EXPLANATION and zero carts to transfer elderly and handicap. #PHL
negative,@SouthwestAir We have been waiting for almost 3 hours trying to rebook flights. PLEASE help us get through to someone.
negative,@USAirways little help to us! My husband has been on hold for an hour for something that take 5 minutes to complete.
negative,@AmericanAir they will just say dumb things to beat around the bush ! If you're flight Cancelled Flightled be prepared for no compassion from them
negative,@AmericanAir is that something the crew on the current leg can request of the gate team on the next leg?
negative,"@USAirways They don't stand alone for me, I bought tix based on USAir confirmed flight. What good is confirmation if you change it anyway?"
negative,@united #onlyinAmerica. 18 days and not a word from #unitedairlines #customerservices. Bad PR guys.
negative,@SouthwestAir Twitter cust svc rule 1 Dont say IF we fell short. I just told u u did! #2 If u cant solve problem don't say anything at all!
negative,@united has an United flight ever been on time. #americanisbetter
negative,@united 45 minutes after arrival and no bags for most people. UA469 from den to ewr. How long should we wait until a ual rep comes here?
negative,@AmericanAir not sure why I would bother when the agent at the airport didnt help &amp; nobody on phone would. Ticket Cancelled Flightled for no reason.
negative,"@JetBlue said they haven't started looking for it, gave me a $25-$100 limit. In NYC at the Waldorf Astoria and can't find $100 outfit. 😒"
negative,@SouthwestAir I'm concerned that you will Cancelled Flight my flight out of BNA tomorrow am. Should I be?
negative,"@AmericanAir , sitting on plane for 2.5hrs at gate due to computer sys issue, at what point do you Cancelled Flight a flight?, ridiculous @PHLAirport"
negative,@AmericanAir ok. Pilots are looking for agents  - they jumped out / FLT 5350 #DFW / this is crazy
negative,@united my flight was supposed to depart to Boston at 4:36 and now it's departing at 6:30 due to issues with finding a pilot. Thanks a lot!!
negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
negative,@SouthwestAir  the agents werenot helpful told me I would have to pay 2chng even though I Tld them going2 bwi whch is part of trvl advsry
negative,@USAirways I hope flight 1855 is not being delayed because flight attendant didn't come to work! #nobackup
negative,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.
negative,@USAirways three hours on hold then disconnected. Conf EBHSET. Need to be home Sunday for interview
negative,@united now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off
negative,@AmericanAir I do not need an apology. I need you to fix it in a competent manner.
negative,@AmericanAir I understand the weather issue but you can't expect passengers to wait 24 hours inside airports for whatever reason. Outrageous
negative,@USAirways something is wrong with your phone system if you call someone and don't play the recorded flight notification. Is US643 Late Flight?
negative,"@united No. SATO rebooked me. Just upset that my travel office had to fix this, and you couldn't."
negative,@USAirways The captain turned off the seat belt sign so people can get up and walk around.  That's not good.
negative,@USAirways it's unacceptable the way your agents at the gate treat paying customers!!!
negative,"@united God damn fucking crew won't be here till 6:40, so you've known for over an hour and a half the flight time was bullshit."
negative,@AmericanAir Flight 953 NYC-Buenos Aires has been delay since yesterday at 10PM. Is going to take off at 3.30PM now? Give us answers!
negative,@VirginAmerica SFO-PDX schedule is still MIA.
negative,“@JetBlue: Our fleet's on fleek. http://t.co/vw2v8GVnGq” 😐😑
negative,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable
negative,@JetBlue I appreciate the credit for my troubles but the lack of personal response troubles me.
negative,@USAirways thanks. We did see an agent. Unhelpful. Some got vouchers others did not for unexplained reasons.
negative,"@AmericanAir seriously, I do not want to wait 24 hours for a flight when I have to prepare for a family funeral."
negative,@AmericanAir you really need some customer service training for your unhappy EEs in the morning in Chicago. Gate K20 at 430 chking her schd
negative,@AmericanAir What are we going to do about the nightmare you guys out me through yesterday? Zero response from the tweet you last sent me.
negative,@AmericanAir Gabriela in Miami is a very rude employee.Working the MIA-LGA check In. She made experience unpleasant.  #customerexperience
negative,@USAirways why is it impossible to change / buy preferred seats via your app?
negative,@united I would take the $500 voucher you offered for MISCOUNTING THE # OF SEATS ON YOUR PLANE but that means I would have to fly you again
negative,@united you guys are gay
negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
negative,@united 5.5hrs Late Flightr and you still can't figure it out. Random text updates. #embarrassing #ua3728 http://t.co/vFTUyJh45X
negative,@USAirways : its just a very bad customer service experience// can you help
negative,@AmericanAir after all that weve been through today as a courtesy to not allow a passenger with an oxgen tank sit up there is bad business
negative,"@united your b737-800w  literally the smallest seats I have ever have, my dad got stuck In the tiny bathroom ad well #disspointed #premier1k"
negative,@USAirways your customer service is a nightmare. I have been on hold for 1 hour. I'm a platinum member with AA and feel like it's worthless
negative,@usairways I just learned that although there is travel policy and they waive the change fee-you will still be charged a $25 reservation fee
negative,@SouthwestAir been on hold for an hour. I need to rebook my flight that was Cancelled Flighted! #help
negative,"@USAirways after 5 flight Cancelled Flightlations we finally get a flight, get to the gate on time &amp; you've given our seats away? Seriously??"
negative,@AmericanAir Okay... If someone does it look for it now my fear is it will be lost forever. It's a very small item.
negative,@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!
negative,@United I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!
negative,@united lax29108m make it happen please else on a cruise with no luggage tomorrow
negative,@USAirways link doesn't work and I've tried tracking my bag several times. Still doesn't clarify where it is.
negative,"@AmericanAir spent $8 for the choppiest feed of ""Whiplash"" ever. #americanairlinesfail #iwantmymoneyback"
negative,@JetBlue 290 to Boston
negative,@USAirways I will never fly @USAirways again
negative,@united always happy to start my life with my new wife with a 5 hr travel delay due to MAINTENECE and it would appear incompetence
negative,"@AmericanAir I fail to see how telling a caller that a bag may take ""18 hours"" to get from JFK to Brooklyn is ""the best we can"""
negative,@USAirways I've been sitting in the Charlotte airport for 4 hours. Waited for crew and now maintenance.  #NeverAgain
negative,"@AmericanAir your definition and mine of 10 min is vastly different. I understand the need to get off the plane for maint, but be honest."
negative,@united Miserable trip ... lost bag Sat... found Mon... lost again... shipping 2nd day ground Tues... might have it for return flight home
negative,@SouthwestAir I'm showing flight 4720 delayed again. Would my boarding pass still be good or was my seat given away?
negative,@JetBlue I'm also a mosaic customer and fly jet blue ALOT....
negative,"@JetBlue Why doesn't your ""Best Fare Finder"" work?"
negative,@AmericanAir Same as yesterday's Cancelled Flighted flight. AA104. Your customer support is just awful!
negative,@AmericanAir you are beyond redemption. Jfk. Baggage claim looks like a luggage warehouse
negative,@SouthwestAir @TaylorLumsden Taylor.  U gotta love SWA responsiveness at the@very least huh?
negative,@SouthwestAir I have never had such awful customer service and conflicting service. Outrageous.
negative,@USAirways I keep missing my updated connections. Need to make it to #JAX to be in my friend's wedding! #strandedattheairport
negative,@USAirways US 728/Feb 21 Kim Y says: leaving on 15 minutes once paperwork is done. Wheels up ~ 1.5 hours Late Flightr.
